SizeID,ShapeID,DimDepth,DimDepthImperial,DimWidth,DimWidthImperial,DimWeight,DimWeightImperial,DimWeightMetric,DimThickness,DimThicknessImperial,DimGage,DimGageImperial,DimDiameter,DimDiameterImperial,DimComment,SizeUnits,BaseWeight,UnitWeight,XSectionalArea,Depth,FlangeWidth,FlangeThickness,WebThickness,KDistance,AdjustedK,UsualGage,SecondaryGage,AxisXXS,InsideDiameter,OutsideDiameter,WallThickness,CalcRevaluation,RevaluationLength1,RevaluationLength2,RevaluationLength3,RevaluationPrice1,RevaluationPrice2,RevaluationPrice3,ChargeLength,CalcScrap,ScrapWidth,ScrapLength,ScrapPrice,Kerf,KerfRipCut,KerfCrossCut,KerfInternalCut,TrimLeadingWidth,TrimLeadingLength,TrimTrailingWidth,TrimTrailingLength,ClampAllowanceFromPart,ValidCombiningScrapPercentage,FirstCutCost,FirstCutCharge,AdditionalCutCost,AdditionalCutCharge,DimensionSizesImperial,DimensionSizesImperial_Reverse,DimensionSizesImperial_EDI,Dim1Imperial,Dim1SortValue,Dim2Imperial,Dim2SortValue,Dim3Imperial,Dim3SortValue,Dim4Imperial,Dim4SortValue,Dim5Imperial,Dim5SortValue,Dim6Imperial,Dim6SortValue,SortOrder,SortOrder_Reverse,ProNestDesignation,SigmaNestDesignation,ERPDesignation
11,9,1016.00203200406,1016.00203200406,,,482164.1533863,482164.1533863,483000.0,,,,,,,,Imperial,0.0,482164.1533862995,61483.993935729806,1021.0820421640844,403.86080772161534,45.9740919481839,25.4000508001016,75.94615189230377,75.94615189230377,,,20975567.773154944,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 324,324 x 40,40X324,40,1016.002,324,482164.15,,,,,,,,,311296.0,377808.0,,,D
12,9,1016.00203200406,1016.00203200406,,,441983.807270775,441983.807270775,443000.0,,,,,,,,Imperial,0.0,441983.80727077456,56322.69329054788,1010.9220218440436,401.32080264160527,41.91008382016764,23.62204724409449,71.88214376428753,71.88214376428753,,,19172979.91764944,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 297,297 x 40,40X297,40,1016.002,297,441983.81,,,,,,,,,309248.0,376400.0,,,D
13,9,1016.00203200406,1016.00203200406,,,412220.587925941,412220.587925941,412000.0,,,,,,,,Imperial,0.0,412220.5879259413,52580.75032279097,1008.3820167640336,401.32080264160527,40.13208026416053,21.082042164084328,70.10414020828041,70.10414020828041,,,18025878.555055033,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 277,277 x 40,40X277,40,1016.002,277,412220.59,,,,,,,,,306176.0,374608.0,,,D
14,9,1016.00203200406,1016.00203200406,,,370552.08084317506,370552.08084317506,371000.0,,,,,,,,Imperial,0.0,370552.08084317454,47419.44967760904,1000.762001524003,401.32080264160527,36.06807213614427,19.0500381000762,66.04013208026416,66.04013208026416,,,16272452.186517859,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 249,249 x 40,40X249,40,1016.002,249,370552.08,,,,,,,,,303104.0,372688.0,,,D
15,9,1016.00203200406,1016.00203200406,,,319954.607956958,319954.607956958,321000.0,,,,,,,,Imperial,0.0,319954.607956958,40967.823871131615,990.6019812039624,401.32080264160527,30.98806197612395,16.51003302006604,60.96012192024384,60.96012192024384,,,14076572.4352657,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 215,215 x 40,40X215,40,1016.002,215,319954.61,,,,,,,,,299008.0,369744.0,,,D
16,9,1016.00203200406,1016.00203200406,,,296144.032481091,296144.032481091,296000.0,,,,,,,,Imperial,0.0,296144.0324810914,37935.55974208722,982.981965963932,401.32080264160527,27.178054356108714,16.51003302006604,57.1501143002286,57.1501143002286,,,12618114.98853852,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 199,199 x 40,40X199,40,1016.002,199,296144.03,,,,,,,,,296960.0,368464.0,,,D
17,9,1016.00203200406,1016.00203200406,,,583359.0991587329,583359.0991587329,584000.0,,,,,,,,Imperial,0.0,583359.0991587328,74838.85935513806,1056.6421132842263,314.96062992125985,64.00812801625604,36.06807213614427,93.98018796037591,93.98018796037591,,,23597513.744799312,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 392,392 x 40,40X392,40,1016.002,392,583359.1,,,,,,,,,317440.0,381008.0,,,D
18,9,1016.00203200406,1016.00203200406,,,492581.28015699104,492581.28015699104,494000.0,,,,,,,,Imperial,0.0,492581.2801569912,63032.38412928439,1036.3220726441452,309.88061976123953,54.10210820421641,30.98806197612395,84.07416814833628,84.07416814833628,,,19828466.410560533,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 331,331 x 40,40X331,40,1016.002,331,492581.28,,,,,,,,,314368.0,378576.0,,,D
19,9,1016.00203200406,1016.00203200406,,,486628.63628802495,486628.63628802495,486000.0,,,,,,,,Imperial,0.0,486628.6362880245,61871.09148411846,1036.3220726441452,307.34061468122934,54.10210820421641,29.972059944119888,84.07416814833628,84.07416814833628,,,19664594.78733276,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 327,327 x 40,40X327,40,1016.002,327,486628.64,,,,,,,,,312320.0,378064.0,,,D
20,9,1016.00203200406,1016.00203200406,,,413708.748893183,413708.748893183,415000.0,,,,,,,,Imperial,0.0,413708.7488931829,53096.88038730917,1021.0820421640844,304.8006096012192,45.9740919481839,26.162052324104646,75.94615189230377,75.94615189230377,,,16714905.569232846,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 278,278 x 40,40X278,40,1016.002,278,413708.75,,,,,,,,,307200.0,374736.0,,,D
